"","y","X0","X1","X2","X3","X5","X6","X8","X12","X13","X14","X19","X20","X22","X27","X31","X35","X37","X43","X45","X46","X49","X50","X51","X58","X64","X68","X70","X71","X80","X81","X84","X85","X96","X98","X100","X101","X103","X114","X115","X116","X118","X119","X127","X129","X132","X133","X137","X139","X142","X144","X150","X151","X154","X155","X156","X157","X158","X161","X163","X164","X168","X171","X177","X178","X180","X181","X182","X186","X187","X189","X191","X194","X201","X202","X208","X209","X215","X218","X219","X220","X223","X224","X225","X234","X238","X241","X244","X246","X247","X250","X251","X256","X261","X265","X273","X275","X283","X285","X286","X294","X300","X301","X304","X311","X313","X314","X316","X321","X324","X327","X329","X331","X334","X336","X337","X343","X348","X350","X351","X352","X354","X355","X356","X358","X360","X362","X363","X367","X368","X374","X375","X376","X377"
"15",99.15,"o","s","as","e","j","g","m","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","1","0","1","0","0","1","1","1","1","1","1","1","0","0","1","1","1","0","0","0","1","0","1","1","1","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","0","1","0","0","1","0","0","1","0","0","1","0","1","0","1","0","0","0","0","1","1","1","0","0","0","1","0","1","0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0"
"16",93.64,"n","l","ak","f","j","d","k","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","1","0","1","0","0","0","1","0","0","1","1","0","1","0","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","1","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0"
"17",106.1,"al","r","e","f","j","h","o","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","1","1","0","1","0","0","0","1","0","1","0","1","0","0","1","1","0","1","0","1","0","1","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","1","1","0","0","1","0","0","0"
"18",114.13,"ay","aa","as","c","j","c","d","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"19",89.81,"f","c","m","c","j","d","e","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","1","0","1","0","1","1","0","1","1","1","1","1","1","0","0","0","1","1","1","0","1","0","1","0","1","1","1","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","0","1","1","0","1","0","1","0","1","0","1","0","1","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1"
"20",90.81,"n","a","ak","f","j","i","s","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","1","0","1","0","1","0","0","0","1","1","1","1","1","0","1","0","0","0","1","0","1","0","1","0","0","1","1","1","0","0","1","0","1","0","0","0","1","0","0","1","0","0","1","0","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0"
"21",90.56,"f","s","m","c","j","j","i","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","1","1","1","1","1","1","1","0","0","1","1","1","0","1","0","1","0","1","1","1","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","1","0","1","1","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","1","0","1","0","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","1"
"22",94.57,"t","aa","as","d","j","j","s","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","1","1","1","1","1","0","0","0","1","1","1","0","1","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","1","0","1","0","0","1","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","1","0","0","1","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","1","0"
"23",108.14,"x","r","a","b","j","j","o","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","1","0","0","1","1","0","1","0","0","0","0","1","1","0","0","1","0","0","0","0","1","1","0","1","0","1","0","1","0","0","0","1","0","0","1","0","0","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","1","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","1","0","0","0","1","1","0","0","0","1","0","0"
"24",120.77,"x","b","m","c","j","j","n","0","0","0","0","0","1","1","1","1","1","0","1","1","0","0","0","1","1","0","1","0","1","1","0","0","0","1","0","1","0","0","0","1","1","1","0","0","0","1","1","1","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","1","0","1","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","1","1","1","0","0","0","1","0","0","1","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1"
"25",84.84,"y","r","ak","d","j","d","s","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","1","1","1","0","1","0","0","0","1","0","1","0","1","0","0","1","1","0","1","0","0","1","1","0","0","0","1","0","0","1","0","0","1","1","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0","1","1","0","0","1","0","0","0"
"26",93.59,"o","s","m","c","j","i","v","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","1","0","1","0","1","1","0","1","1","1","1","1","1","0","0","0","1","1","1","0","1","0","1","0","1","1","1","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","1","0","1","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","0","0","0","1","1","1","0","0","0","1","0","1","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1"
"27",104.07,"aj","l","as","f","j","g","j","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1","0","0","0","1","1","1","0","0","1","0","0","1","0","0","1","0","1","1","1","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0"
"28",89.37,"t","aa","as","c","j","d","b","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","1","1","1","1","0","0","0","1","1","1","0","1","0","1","0","1","1","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","0","1","0","0","1","0","1","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","1","1","0","0","1","0","1","0","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"29",90.08,"f","s","as","c","j","c","q","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","1","0","1","0","0","1","1","1","1","1","1","0","0","0","1","1","1","0","1","0","1","0","1","1","1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0","1","1","1","1","0","0","0","1","0","1","0","1","1","1","0","0","1","0","0","1","0","0","1","0","0","1","1","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","1","0","0","1","1","0","1","1","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0"
"30",128.19,"x","b","m","c","j","j","n","0","0","0","0","0","1","1","1","1","1","0","1","1","0","0","0","1","1","0","1","0","1","1","0","0","0","1","0","1","0","0","0","1","1","1","0","0","0","1","1","1","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","1","0","1","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","1","1","1","0","0","0","1","0","0","1","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1"
"31",76.01,"az","v","as","f","j","g","n","0","0","1","0","0","0","1","1","1","1","0","0","0","0","0","1","1","0","0","1","0","1","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","1","0","1","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"32",107.86,"w","e","as","c","j","l","w","0","0","1","0","0","0","1","0","0","0","0","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","0","1","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","1","0","0","1","0","0","1","0","0","1","1","0","0","1","1","1","1","0","1","0","1","0","1","0","1","1","1","1","0","1","1","1","1","1","0","1","0","1","1","1","1","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0","1","1","0","0","0","1","1","0","1","1","0","1","1","0","0","1","0","0","0","0","0","1"
"33",106.87,"x","b","m","c","j","j","n","0","0","0","0","0","1","1","1","1","1","0","1","1","0","0","0","1","1","0","1","0","1","1","0","0","0","1","0","1","0","0","0","1","1","1","0","0","0","1","1","1","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","1","0","1","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","1","1","1","0","0","0","1","0","0","1","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1"
"34",104.85,"o","s","as","d","j","a","v","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","1","1","1","1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","1","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1","0","0","0","1","1","1","0","0","1","0","0","1","0","0","1","0","0","1","1","1","0","1","0","0","1","0","1","1","1","0","0","0","0","0","1","0","0","0","1","0","1","1","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0"
"35",114.78,"ak","s","as","c","j","j","b","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","1","0","1","0","0","1","0","1","1","1","1","0","0","1","1","1","0","1","1","0","1","0","1","1","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","1","0","1","0","1","0","0","0","0","1","1","0","1","0","0","1","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"36",91.56,"am","b","ai","c","j","j","o","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","1","0","0","0","0","1","1","1","1","0","0","0","1","1","1","0","0","1","1","0","1","1","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","1","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1"
"37",98.16,"aj","l","as","f","j","g","j","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","1","0","0","0","1","1","1","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1","0","0","0","1","1","1","0","0","1","0","0","1","0","0","1","0","1","1","1","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0"
"38",117.31,"j","v","k","d","j","j","j","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","1","0","0","1","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","0","1","1","1","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","1","0","1","1","0","0","0","1","0","0","1","0","0","1","0","1","1","0","0","0","1","1","0","0","0","0","0","0"
"39",79,"az","v","as","f","j","g","n","0","0","1","0","0","0","1","1","1","1","0","0","0","0","0","1","1","0","0","1","0","1","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","1","0","1","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"40",110.76,"w","s","as","c","j","j","k","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","1","0","0","1","0","1","0","1","0","0","0","1","1","1","0","0","1","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","1","0","1","1","0","0","0","1","0","0","0","0","0","1","0","1","1","0","1","0","1","0","0","1","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"41",101.44,"aj","l","as","f","j","i","n","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1","0","0","0","1","1","1","0","0","1","0","0","1","0","0","1","0","1","1","1","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0"
"42",91.98,"o","h","ae","f","j","j","b","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","1","0","1","1","1","1","1","1","0","0","0","1","1","1","0","1","0","1","0","1","1","1","0","1","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","1","1","1","0","0","0","0","0","1","1","1","0","0","1","1","0","0","0","0","0","1","0","1","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0"
"43",98.08,"z","aa","ai","c","j","g","j","0","0","0","1","0","0","1","1","1","1","0","0","1","1","1","0","1","0","0","1","0","1","0","0","0","0","1","1","1","1","0","0","0","1","1","1","1","1","0","1","0","0","1","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","0","1","0","1","0","0","1","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"44",139.2,"w","s","as","c","j","i","q","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","1","0","1","0","0","1","1","1","1","1","1","0","0","0","1","1","0","0","1","0","1","0","1","1","1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","1","1","0","0","0","1","0","0","0","1","1","1","0","0","1","0","0","1","0","0","1","0","1","1","1","1","0","1","0","0","1","0","1","1","0","1","0","0","1","0","1","0","0","1","1","0","1","1","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0"
"45",85.44,"s","z","ai","c","j","j","b","0","0","0","1","0","0","1","1","1","1","0","0","1","1","1","0","1","0","0","1","0","1","0","0","0","0","1","1","1","1","0","1","0","0","0","1","1","1","0","1","0","0","1","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"46",110.52,"x","b","m","c","j","j","n","0","0","0","0","0","1","1","1","1","1","0","1","1","0","0","0","1","1","0","1","0","1","1","0","0","0","1","0","1","0","0","0","1","1","1","0","0","0","1","1","1","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","1","0","1","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","1","1","1","0","0","0","1","0","0","1","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1"
"47",91.44,"al","r","ai","f","j","j","g","0","0","0","1","0","0","1","1","1","1","0","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0","1","0","1","1","0","1","0","0","0","1","0","1","0","1","0","0","1","0","0","1","0","1","0","1","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
